SKU,Product title,Product main image,Product Details Page Link,Sale price,Commission,Promotion Link
SKU973698,Sombra de ojos brillante de 6 colores Gel,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/F6/15/f702c886-dbb8-4f8c-bec8-dd3be7abd91f.jpg?s=235x313,https://www.newchic.com/es/handaiyan-eye-shadow-4386/p-1314436.html,3.54,0.42,https://www.newchic.com/es/handaiyan-eye-shadow-4386/p-1314436.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1314436
SKU958466,Ethnic Hoja Horquilla con borla de cristal Wings,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/0C/27/a4f9461b-c77f-447b-b6ce-9814bb8a6d2a.jpg?s=235x313,https://www.newchic.com/es/hair-accessories-5139/p-1316083.html,1.64,0.2,https://www.newchic.com/es/hair-accessories-5139/p-1316083.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1316083
SKU958488,Horquilla de madera retro,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/D5/99/d3be77ae-5f3c-460b-95f1-d85598a45dcd.jpg?s=235x313,https://www.newchic.com/es/hair-accessories-5139/p-1316086.html,1.53,0.18,https://www.newchic.com/es/hair-accessories-5139/p-1316086.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1316086
SKU990643,Paleta de resaltado de 4 colores,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/35/CA/a3674fef-c6ad-489c-90da-cbae72fe4552.jpg?s=235x313,https://www.newchic.com/es/handaiyan-highlighters-and-bronzers-5638/p-1319268.html,3.62,0.43,https://www.newchic.com/es/handaiyan-highlighters-and-bronzers-5638/p-1319268.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1319268
SKU651698,Anillo JASSY® Retro White Turquesa,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/banggood/images/1D/23/909cf96a-1498-45f6-97a4-af8f50a69a70.jpeg?s=235x235,https://www.newchic.com/es/jassy-rings-4048/p-1167459.html,2.09,0.25,https://www.newchic.com/es/jassy-rings-4048/p-1167459.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1167459
SKU958611,Relojes de lujo de plata Impermeable para hombres,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/C3/C7/d477851c-9a9c-4b64-abf2-82bcdd571d23.jpg?s=235x313,https://www.newchic.com/es/longbo-men-watches-4551/p-1295185.html,2.45,0.29,https://www.newchic.com/es/longbo-men-watches-4551/p-1295185.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1295185
SKUA28181,Lectura Gafas,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/E3/A6/4da702f1-e962-4e2b-b780-4bfe569828ef.jpg?s=235x313,https://www.newchic.com/es/eye-care-6156/p-1346581.html,6.99,0.84,https://www.newchic.com/es/eye-care-6156/p-1346581.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1346581
SKUA09382,Tapa de cubo hueca plegable,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/F6/BB/91898bef-8d6e-45b5-9cb8-5b0e1e99d189.jpg?s=235x313,https://www.newchic.com/es/bucket-hat-12173/p-1348471.html,3.71,0.45,https://www.newchic.com/es/bucket-hat-12173/p-1348471.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1348471
SKUA14290,Vintage Tessals Cabello Clip,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/DA/EB/1966948f-7ee8-4f4b-850f-7afa08bc05cd.jpg?s=235x313,https://www.newchic.com/es/hair-accessories-5139/p-1340437.html,1.48,0.18,https://www.newchic.com/es/hair-accessories-5139/p-1340437.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1340437
SKUA24258,Conjunto de gorro de bufanda para hombre,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/56/BF/e8fadf8b-a94d-490a-910f-697fdb29c4e3.jpg?s=235x313,https://www.newchic.com/es/beanie-hat-12159/p-1344175.html,4.4,0.53,https://www.newchic.com/es/beanie-hat-12159/p-1344175.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1344175
