SKU,Product title,Product main image,Product Details Page Link,Sale price,Commission,Promotion Link
SKUI09906,Gafas de sol unisex de una pieza,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/42/44/6c98f1d8-b885-4421-ae1d-faf44b78f96a.jpg?s=235x313,https://www.newchic.com/es/sunglasses-6383/p-1871509.html,3.78,0.45,https://www.newchic.com/es/sunglasses-6383/p-1871509.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1871509
SKUI13860,Gorra de béisbol unisex con parche bordado de letras,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/A2/F7/3f5da156-788e-4b0c-ac89-85ee0aba223b.jpg?s=235x313,https://www.newchic.com/es/baseball-caps-12158/p-1873145.html,3.64,0.44,https://www.newchic.com/es/baseball-caps-12158/p-1873145.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1873145
SKUI08235,Gorras de béisbol bordadas desgastadas unisex,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/0E/D5/7e25301a-bc02-4bef-a81c-606d1ceb7c47.jpg?s=235x313,https://www.newchic.com/es/baseball-caps-12158/p-1867358.html,3.53,0.42,https://www.newchic.com/es/baseball-caps-12158/p-1867358.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1867358
SKUH54438,Bolsillo sin mangas plisado liso Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/EC/26/beb1e037-b3ce-4c23-b4fc-1000f63a546f.jpg?s=235x313,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1867428.html,22.99,2.76,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1867428.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1867428
SKUI10080,Camisetas con estampado de letras,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/6D/01/02eff95d-58bd-4327-b1bb-77d389097165.jpg?s=235x313,https://www.newchic.com/es/charmkpr-t-shirts-12208/p-1868415.html,5.51,0.66,https://www.newchic.com/es/charmkpr-t-shirts-12208/p-1868415.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1868415
SKUI08508,Cuervo Tallado Cráneo Anillos,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/D1/59/e34da771-4751-4436-8266-b62dc5eb6f19.jpg?s=235x313,https://www.newchic.com/es/mens-rings-4081/p-1869783.html,1.51,0.18,https://www.newchic.com/es/mens-rings-4081/p-1869783.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1869783
SKUH97306,Gorras planas con etiqueta de cuero bordada para hombre,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/5C/ED/4a5737f9-af94-4f8b-8d95-b4d45b8ead6e.jpeg?s=235x313,https://www.newchic.com/es/flat-caps-12160/p-1861214.html,13.64,1.64,https://www.newchic.com/es/flat-caps-12160/p-1861214.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1861214
SKUH94921,1 pieza resina Caballero gnomos estatua de guerra de jardín decoración de jardín escultura de adorno de escritorio soldado colección de figuras en miniatura decoración del hogar,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/E8/32/fe9b4205-bc09-4b34-9888-1837fd032682.jpg?s=235x313,https://www.newchic.com/es/garden-decor-5044/p-1863015.html,8.05,0.97,https://www.newchic.com/es/garden-decor-5044/p-1863015.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1863015
SKUF25281,Todo el estampado floral Escote en V Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/23/0F/9628828d-7a6d-4d61-8a20-eee2f844420e.jpg?s=235x313,https://www.newchic.com/es/zanzea-print-dresses-3677/p-1854610.html,24.14,2.9,https://www.newchic.com/es/zanzea-print-dresses-3677/p-1854610.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1854610
SKUH52602,Anillo de joyería Punk Cross,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/0F/F4/ee7862b6-2bdd-4fdb-88b8-1d6d54181743.jpg?s=235x313,https://www.newchic.com/es/mens-rings-4081/p-1838664.html,1.39,0.17,https://www.newchic.com/es/mens-rings-4081/p-1838664.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1838664
