SKU,Product title,Product main image,Product Details Page Link,Sale price,Commission,Promotion Link
SKU437421,Remaches de cuero Elephant Colgante Watch,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/BB/02/df129623-222b-406e-b2bb-927f19a9238c.jpg?s=235x313,https://www.newchic.com/es/women-watches-4548/p-1063353.html,1.66,0.2,https://www.newchic.com/es/women-watches-4548/p-1063353.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1063353
SKUF96746,Collar de cuentas de piedra natural,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/19/F9/695a73ce-999d-4af6-ab20-dd8207e432c4.jpg?s=235x313,https://www.newchic.com/es/necklaces-4047/p-1726219.html,1.54,0.18,https://www.newchic.com/es/necklaces-4047/p-1726219.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1726219
SKUF98270,Linda funda de cojín de lino con estampado Gato Colorful Gatos Patrón almohada decorativa Caso para funda de almohada de sofá,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/50/E6/68ec1f4e-c50c-4042-8adb-299bc9684f43.jpg?s=235x313,https://www.newchic.com/es/cushion-cover-5801/p-1726281.html,5.45,0.65,https://www.newchic.com/es/cushion-cover-5801/p-1726281.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1726281
SKUF94000,Correa de poliuretano multicapa Watch,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/16/B2/82684b1a-cd3b-4a6d-9c76-e7b259449001.jpg?s=235x313,https://www.newchic.com/es/women-watches-4548/p-1726838.html,1.54,0.18,https://www.newchic.com/es/women-watches-4548/p-1726838.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1726838
SKUF44877,Dial tridimensional Watch,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/75/C6/ae6b991c-6b7e-4b5a-895b-293138f1c2aa.jpg?s=235x313,https://www.newchic.com/es/men-watches-4551/p-1701801.html,4.86,0.58,https://www.newchic.com/es/men-watches-4551/p-1701801.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1701801
SKUF52956,rregular Turquesa Conjunto de collar,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/C7/F0/3f618fab-ba6a-4e23-937e-3a8a0d20eadf.jpg?s=235x313,https://www.newchic.com/es/necklaces-4047/p-1702581.html,1.54,0.18,https://www.newchic.com/es/necklaces-4047/p-1702581.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1702581
SKUA49172,Gorra de boina cálida de cuero,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/F0/D8/db6c8d87-7442-4266-b540-74a59fdc2c5a.jpg?s=235x313,https://www.newchic.com/es/flat-caps-12160/p-1365358.html,7.63,0.92,https://www.newchic.com/es/flat-caps-12160/p-1365358.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1365358
SKUA49115,Mujer Invierno Sombrero,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/8F/97/6c67e592-4e8f-4d5d-bbf6-3444a3dc31e8.jpg?s=235x313,https://www.newchic.com/es/hats-and-caps-4124/p-1366826.html,4.56,0.55,https://www.newchic.com/es/hats-and-caps-4124/p-1366826.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1366826
SKUA57459,Gorro de punto de lana de invierno,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/67/5F/f272b79e-c3cd-42f8-ac9e-9c9356a7e758.jpg?s=235x313,https://www.newchic.com/es/beanie-hat-12159/p-1369003.html,3.38,0.41,https://www.newchic.com/es/beanie-hat-12159/p-1369003.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1369003
SKUE20242,Gorros de lana de terciopelo grueso Oreja Protección delantera Sombrero,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/62/AE/62b9a906-b4c7-40ab-b43a-62454ebeb801.jpg?s=235x313,https://www.newchic.com/es/hats-and-caps-4192/p-1615007.html,4.08,0.49,https://www.newchic.com/es/hats-and-caps-4192/p-1615007.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1615007
SKUE26507,Fish Escala Perno de luz polarizada Pendientes,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/A9/C7/46c59983-6478-4bcd-94ae-b4dadf486d9e.jpg?s=235x313,https://www.newchic.com/es/earrings-4041/p-1617673.html,1.3,0.16,https://www.newchic.com/es/earrings-4041/p-1617673.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1617673
SKUF80913,Flores Estampado Separado Informal Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/74/11/68b1deec-5941-47e4-bf29-d50472dde6c2.jpg?s=235x313,https://www.newchic.com/es/zanzea-plus-size-print-dresses-5159/p-1740230.html,27.29,3.27,https://www.newchic.com/es/zanzea-plus-size-print-dresses-5159/p-1740230.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1740230
SKUE68406,Liso Volante Casual Algodón Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/F4/68/2418575a-5428-4560-9b06-daf8e1d61ac5.jpg?s=235x313,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1740659.html,31.49,3.78,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1740659.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1740659
SKUG21329,Gorro para la cabeza de la bufanda del grosor de las mujeres,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/1F/56/324aa0ec-1a37-4a47-a5fe-afe51618a6ec.jpg?s=235x313,https://www.newchic.com/es/beanie-hat-12168/p-1741105.html,3.36,0.4,https://www.newchic.com/es/beanie-hat-12168/p-1741105.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1741105
SKUG21318,Mujer Floral Patrón Gorro casual Sombrero,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/9C/2B/c7243a93-cb24-4a5b-996d-d253549b392f.jpg?s=235x313,https://www.newchic.com/es/beanie-hat-12168/p-1741142.html,3.5,0.42,https://www.newchic.com/es/beanie-hat-12168/p-1741142.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1741142
SKUG13885,COLLROWN Boina Hombre Piel Patchwork Color Sombrero,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/8E/66/762933ef-5ba3-4ba2-80f1-79d05023b66a.jpg?s=235x313,https://www.newchic.com/es/flat-caps-12160/p-1735903.html,4.5,0.54,https://www.newchic.com/es/flat-caps-12160/p-1735903.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1735903
SKUF66210,Algodón casual de color liso Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/22/50/51ba76c8-0830-455f-bcb2-c81173ff0d3f.jpg?s=235x313,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1735983.html,29.39,3.53,https://www.newchic.com/es/zanzea-casual-dresses-5073/p-1735983.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1735983
